komentar,analisis
ya mang bijak serakah ya dalih ekonomi,"1. **Komentar 1**: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan Alam. Alasan: Komentar ini menunjukkan kekecewaan dengan investasi asing, seperti dari China, yang menyebabkan kerusakan alam di Raja Ampat.

2. **Komentar 2**: Sentimen: Tidak Terdeteksi. Indikasi Buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar ini hanya mengirim salam dan tidak menunjukkan sentimen positif atau negatif terhadap kerusakan alam.

3. **Komentar 3**: Sentimen: Tidak Terdeteksi. Indikasi Buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar ini mengacu pada review Weton dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

4. **Komentar 4**: Sentimen: Tidak Terdeteksi. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar ini menyimpulkan pendidikan di Jawa Darurhama dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

5. **Komentar 5**: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan Alam. Alasan: Komentar ini mengkritik penggunaan Raja Ampat sebagai destinasi wisata yang mengalami kerusakan akibat perizinan operasional yang diberikan.

6. **Komentar 6**: Sentimen: Tidak Terdeteksi. Indikasi Buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar ini mengajak untuk upload podcast dan tidak berkaitan dengan kerusakan alam.

7. **Komentar 7**: Sentimen: Tidak Terdeteksi. Indikasi Buzzer: Tidak. Topik: Tid"
sda keruk yg kaya kaya sdm perah yg miskin miskin tanda tangan yg mulia layan masyarakat,"1. Komentar 1: Sentimen: Tidak diberikan, Indikasi Buzzer: Tidak, Topik: Konten Settingan, Alasan: Komentar ini hanya mengenai kualitas video tanpa mengutus sentimen positif atau negatif terhadap kerusakan alam di Raja Ampat.

2. Komentar 2: Sentimen: Tidak diberikan, Indikasi Buzzer: Tidak, Topik: Isu Sosial, Alasan: Komentar ini fokus pada ekonomi dan manfaat segment, tidak menganggap kerusakan alam.

3. Komentar 3: Sentimen: Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini mengkritik tindakan yang rusak alam dan mengingatkan terhadap kolonialisme sejara.

4. Komentar 4: Sentimen: Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini menggunakan kata 'gorong' untuk menunjukkan korupsi dan rugi yang terjadi, yang terkait dengan kerusakan alam.

5. Komentar 5: Sentimen: Tidak diberikan, Indikasi Buzzer: Tidak, Topik: Emosi, Alasan: Komentar ini hanya menyampaikan emosi tanpa mengutus sentimen terhadap kerusakan alam.

6. Komentar 6: Sentimen: Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini menggunakan metaphor ""konsentrasi emas"" untuk menunjukkan eksplorasi sumber daya alam yang tidak berkelanjutan.

7. Komentar 7: Sentimen: Tidak diberikan, Indikasi Buzzer: Tidak, Topik: Tidak Relevan, Alasan: Komentar ini tidak ber"
tikus gorong dukung nya tambang lahkalo raja ampat pariwisata tikus gorong nggk duitnah kalo tambang tikus gorong cuandimakan tikusitu aja sih ngeliatnya,"1. Komentar 1: Sentimen Negatif - Tidak ada indikasi buzzer, topik Kerusakan Alam, komentar mengkritik perintah yang dilakukan tanpa peduli terhadap kerusakan alam di Raja Ampat.

2. Komentar 2: Sentimen Negatif - Tidak ada indikasi buzzer, topik Isu Sosial, komentar menangkap masalah pariwisata yang tidak terkontrol dan efeknya pada lingkungan.

3. Komentar 3: Sentimen Negatif - Tidak ada indikasi buzzer, topik Kerusakan Alam, komentar mengkritik perintah yang dianggap rakus tanpa mempedulikan kesannya terhadap alam.

4. Komentar 4: Sentimen Negatif - Tidak ada indikasi buzzer, topik Kerusakan Alam, komentar menggunakan kata ""darah"" sebagai metaphor untuk kerusakan alam, menunjukkan kekecewaan.

5. Komentar 5: Sentimen Negatif - Tidak ada indikasi buzzer, topik Isu Sosial, komentar mengkritik kelakuan ""rampok rampok"" dan korupsi, yang berkaitan langsung dengan kerusakan alam akibat eksploitasi sumber daya alam.

6. Komentar 6: Sentimen Negatif - Tidak ada indikasi buzzer, topik Kerusakan Alam, komentar mengkritik korupsi, polusi, dan kekurangan pendidikan yang menyebabkan kerusakan alam.

7. Komentar 7: Sentimen Negatif - Tidak ada indikasi buzzer, topik Isu Sosial, komentar mengkritik polisi yang tidak mendalam dan kebodohan intelektual dalam menghadapi kerusakan alam.

8. Komentar 8: Sentimen Negatif -"
gw emak gw nonton video beliau nanya percaya mafia,"1. Komentar 1: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini tidak menunjukkan sentimen terhadap kerusakan alam di Raja Ampat, meluru kepada komentar tentang pakaian (jersey).

2. Komentar 2: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini berkonsentrasi pada individu (Sri) dan tidak menyebutkan apa-apa tentang kerusakan alam.

3. Komentar 3: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini berkonsentrasi pada kelangsungan usaha jajah, bukan tentang kerusakan alam.

4. Komentar 4: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini berkonsentrasi pada warna ""allblue"" dari Sanji, persona dari seri anime One Piece, dan tidak terkait dengan kerusakan alam.

5. Komentar 5: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini menyebut kata ""bahlil biang,"" seperti nama atau kutipan dari sebuah lagu tanpa hubungan dengan kerusakan alam.

6. Komentar 6: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: Kerusakan alam / isu sosial / konten settingan. Alasan: Komentar ini menyebut aktivitas tambang (mining) di Raja Ampat, yang seringkali berkaitan dengan kerusakan alam dan isu sosial. Indikator buzzer ada karena menyebutnya sebagai kontroversial dan bertentangan"
ya perintah jalan yg pintar,"1. Komentar 1: Sentimen Negatif, Indikasi Buzzer Tidak, Topik Kerusakan Alam, Alasan: Komentar ini menunjukkan kekecewaan dengan pembangunan pariwisata di Raja Ampat yang disebutkan sebagai tambang, yang dikaitkan dengan kerusakan alam.

2. Komentar 2: Sentimen Negatif, Indikasi Buzzer Tidak, Topik Isu Sosial, Alasan: Komentar ini menunjukkan sifat sara banget (an t megang segilintir orang aja coba aja) yang tidak peduli terhadap isu yang serius seperti kerusakan alam di Raja Ampat.

3. Komentar 3: Sentimen Tidak Relevan, Indikasi Buzzer Tidak, Topik Konten Settingan, Alasan: Komentar ini tidak berkaitan dengan kerusakan alam di Raja Ampat. Ia berkaitan dengan warna baju dan tidak memberikan perspektif atau pendapat mengenai isu video.

4. Komentar 4: Sentimen Negatif, Indikasi Buzzer Tidak, Topik Isu Sosial, Alasan: Komentar ini mengandung kritik terhadap pimpinan yang disempitkan dengan sifat ""martabat Pablo Escobar"" dari perintah mafia, menunjukkan kekecewaan dengan keadaan sosial di Indonesia.

5. Komentar 5: Sentimen Tidak Terdeteksi, Indikasi Buzzer Tidak, Topik Kerusakan Alam, Alasan: Komentar ini terlalu singkat dan tidak memberikan konteks yang jelas mengenai kerusakan alam di Raja Ampat.

6. Komentar 6: Sentimen Positif, Indikasi Buzzer Tidak, Topik Kerusakan Alam, Alasan: Komentar ini menunjukkan dukungan untuk gerakan untuk mencegah tambang ilegal di"
tambang reklamasi tambang beroprasi usah wajib setor dana jamin reklamasi perintah,"1. Komentar 1: Sentimen Negatif. Ini menunjukkan kekesalahan terhadap perusahaan yang mencemar lingkungan laut, yang dikaitkan dengan ""pagar laut henti laju kuasa"". Idiom ""henti laju kuasa"" sifat negatif, menunjukkan kekesalahan terhadap perilaku perusahaan yang mencemar alam. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar menunjukkan kekesalahan terhadap perusahaan yang mencemar lingkungan laut.

2. Komentar 2: Sentimen Positif. Komentar ini menyampaikan doa untuk pelestarian Indonesia dan menghargai keindahan negeri, menunjukkan kepedulian terhadap pelestarian alam. Indikasi buzzer: Tidak. Topik: isu sosial (dengan tingkatan kepedulian alam). Alasan: Komentar berisi doa untuk pelestarian Indonesia dan menghargai keindahan negeri, sifat positif.

3. Komentar 3: Sentimen Tidak Relevan. Komentar ""bahlil bang"" tidak memberikan komentar yang relevan dengan kerusakan alam di Raja Ampat. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar tidak berkaitan dengan kerusakan alam atau isu pelestarian alam.

4. Komentar 4: Sentimen Negatif. Komentar ""negaraa anjing negara kutuk"" menunjukkan kekesalahan dan kekecewaan terhadap negara, yang dapat disimulasikan sebagai sifat negatif terhadap keadaan alam dan pelestarian. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar menunjukkan kekesalahan dan kecewaan, yang d"
ya miris banget pimpin yg pilih kotor,"1. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam / isu sosial / konten settingan. Alasan: Komentar 1 menyerang ketidakpeduliannya terhadap kerusakan alam dengan menggunakan kata ""rumus tarik"", yang mungkin menunjukkan kritikan atau kekacauan.

2. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: isu sosial. Alasan: Komentar 2 menghentikan dan menggunakan kata ""bahlul si pinokio ijazah palsu"" sebagai kritik kepada individu tanpa konteks yang jelas tentang kerusakan alam.

3. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: isu sosial. Alasan: Komentar 3 menggunakan kata ""anjing rezim"" dan ""jilat lubang tai rezim"", yang menunjukkan kebencian politik dan tidak relevan dengan kerusakan alam.

4. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: isu sosial. Alasan: Komentar 4 mengkritik dan menggunakan kata ""bodoh"" dan ""anjiran"", menunjukkan kekacauan dan kekecewaan terhadap situasi saat ini.

5. Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: kerusakan alam / konten settingan. Alasan: Komentar ini menanyakan tentang kerja di bidang pariwisata dan mining, tanpa menunjukkan sentimen positif atau negatif terhadap kerusakan alam.

6. Sentimen: Tidak jelas. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ""mul muul"" tidak memberikan opini atau sentimen terhadap kerusakan alam atau pelestarian lingk"
indonesia emas indonesia lemas,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menunjukkan kekecewaan dan kritikan terhadap sesuatu yang dilakukan oleh pihak yang dianggap bodoh, tanpa mengacu langsung pada kerusakan alam.

2. Komentar 2: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menunjukkan kekesalahan atau kekecewaan, tetapi tanpa mengacu pada kerusakan alam.

3. Komentar 3: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini berkaitan dengan perbedaan perintah dan rakyat, tanpa mengacu pada kerusakan alam.

4. Komentar 4: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menunjukkan kegembiraan yang tidak terkait dengan kerusakan alam, mungkin berkaitan dengan kejadian politik atau sosial.

5. Komentar 5: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menunjukkan kritikan kepada individu yang dianggap tidak cerdas dalam memilih pemimpin politik, tanpa mengacu pada kerusakan alam.

6. Komentar 6: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini mengajak ke aktivitas diskusi atau podcast, tanpa mengacu pada kerusakan alam.

7. Komentar 7: Sentimen Tidak Relevan. Indikasi buzzer: Tidak"
ya emang tuju nya sikat alih issue sumber bom selesai,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan alam. Alasan: Komentar ini menunjukkan korupsi dalam industri timah, yang menyebabkan kerusakan alam di Raja Ampat.

2. Komentar 2: Sentimen Tidak Ada. Indikasi Buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini diskusi tentang ekonomi dan kebutuhan uang untuk mencari rusa, yang terkait dengan isu sosial dan ekonomi lokal.

3. Komentar 3: Sentimen Tidak Ada. Indikasi Buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini tidak berkaitan dengan konten video dan hanya menyampaikan informasi tentang organ tubuh.

4. Komentar 4: Sentimen Tidak Ada. Indikasi Buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini mengingatkan tentang sikap masyarakat Raja Ampat terhadap aktivitas tambang, yang berkaitan dengan isu sosial dan ekonomi lokal.

5. Komentar 5: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan alam. Alasan: Komentar ini mengkritik Indonesia untuk ""puruk mata dunia"" dan menyebabkan kerusakan alam di Raja Ampat.

6. Komentar 6: Sentimen Tidak Ada. Indikasi Buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini mengingatkan tentang masalah pemahaman dan pendidikan dalam konteks pelestarian alam.

7. Komentar 7: Sentimen Tidak Ada. Indikasi Buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini menggunakan bahasa yang sedikit ag"
simple gw main kesana ngapain udah rusak governn,"Hasil analisis bagi setiap komentar:

1. **Sentimen:** Negatif
   - **Alasan:** Komentar tersebut mengandung kata-kata kritik dan tuduhan, seperti ""bangsat,"" ""rakus,"" dan ""timbul,"" yang menunjukkan kekecewaan dan kritikan terhadap perilaku yang mereka lihat.

2. **Indikasi Buzzer:** Tidak
   - **Alasan:** Komentar ini terlalu tidak terkait dengan topik kerusakan alam dan lebih ke arah kritikan pribadi, politik, atau kelompok tertentu.

3. **Topik:** Kerusakan alam / isu sosial / tidak relevan
   - **Alasan:** Komentar ini terlalu terlibat dengan isu politik dan kritikan pribadi, bukan langganan langsung terhadap kerusakan alam di Raja Ampat.

4. **Sentimen:** Negatif
   - **Alasan:** Komentar ini menunjukkan kebimbangan dan kebimbangan terhadap masalah rusa yang menyebabkan kerusakan ekosistem.

5. **Indikasi Buzzer:** Tidak
   - **Alasan:** Komentar ini berfokus pada pernyataan kebimbangan dan tidak menunjukkan sentimen positif atau negatif terhadap pelestarian alam.

6. **Topik:** Kerusakan alam / isu sosial
   - **Alasan:** Komentar ini menyebutkan kebimbangan mengenai ekosistem buruk, yang relevan dengan topik kerusakan alam.

7. **Sentimen:** Negatif
   - **Alasan:** Komentar ini menunjukkan kekecewaan terhadap apa yang dianggap sebagai penyalahgunakan dana untuk kepentingan pribadi.

8. **Indikasi Buzzer:** Tidak
   - **Alasan:** Komentar ini lebih"
ga sih perintah reset aja,"1. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan alam; Alasan: Komentar ini mengkritik perusahaan tambang dan korupsi, menunjukkan kekecewaan dengan situasi di Raja Ampat.

2. Sentimen: Tidak Relevan; Indikasi Buzzer: Tidak; Topik: Konten settingan; Alasan: Komentar ini hanya berkomentar tentang logo baju dan tidak berkaitan dengan isu kerusakan alam di Raja Ampat.

3. Sentimen: Netral; Indikasi Buzzer: Tidak; Topik: Kerusakan alam; Alasan: Komentar ini berupaya untuk mendorong tindakan (moga probowo bijak), tetapi tidak menyentuh sentimen positif atau negatif terhadap isu kerusakan alam.

4. Sentimen: Positif; Indikasi Buzzer: Tidak; Topik: Kerusakan alam; Alasan: Komentar ini mencermati keindahan Raja Ampat, yang bisa diinterpreto sebagai kepedulian terhadap alam yang harus dijaga.

5. Sentimen: Tidak Relevan; Indikasi Buzzer: Tidak; Topik: Isu sosial; Alasan: Komentar ini berkonsentrasi pada komedi politik dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

6. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan alam; Alasan: Komentar ini mencantumkan ""alamat indonesia kaya alam, tangga usaha ga tangan perintah,"" yang sifatnya mengkritik pengembangan yang mungkin tidak berkelanjutan atau tidak berkelanjutan.

7. Sentimen: Tidak Relevan; Indikasi Buzzer: Tidak; Topik: Konten settingan; Alasan: Koment"
gua ga ngerasa provokasi konten bang ferryirwandi ngerasa lgi kuliah waras tengah situasi politik isu negatif negara republik wkwkw,"1. Komentar 1: Sentimen Negatif, Indikasi Buzzer: Ya, Topik: Kerusakan Alam, Alasan: Komentar menyalahkan perintah dan menunjukkan kekurangan kepedulian terhadap masalah kerusakan alam.

2. Komentar 2: Sentimen Netral, Indikasi Buzzer: Tidak, Topik: Isu Sosial, Alasan: Pertanyaan mengenai perintuan, bukan kritik atau mendukung kerusakan alam.

3. Komentar 3: Sentimen Negatif, Indikasi Buzzer: Ya, Topik: Isu Sosial, Alasan: Komentar mengkritik figur politik dengan tuduhan tidak terkait langsung dengan kerusakan alam, tetapi menunjukkan kebimbangan sosial.

4. Komentar 4: Sentimen Netral, Indikasi Buzzer: Tidak, Topik: Konten Settingan, Alasan: Komentar membahas tujuan video sebagai materi skripsi, tidak terhubung dengan kerusakan alam.

5. Komentar 5: Sentimen Negatif, Indikasi Buzzer: Ya, Topik: Kerusakan Alam, Alasan: Komentar menyampaikan kesulitan dalam melindungi sumber daya alam, tertuju pada keadaan ""all blue"" yang rusak.

6. Komentar 6: Sentimen Negatif, Indikasi Buzzer: Ya, Topik: Kerusakan Alam, Isu Sosial, Alasan: Komentar mengkritik proses hukum yang mungkin tidak mencakup dampak lingkungan dan mengingatkan terhadap kesalahan hukum yang mungkin terjadi.

7. Komentar 7: Sentimen Netral, Indikasi Buzzer: Tidak, Topik: Konten Settingan, Alasan: Komentar mengingink"
sedih indonesia cinta jabat mafia yg rakusyang kantong gemuk ya si bahlul,"1. Komentar 1: Sentimen Negatif. Alasan: Komentar ini menyampaikan kekurangan sumber daya rakyat, yang secara langsung tidak menunjukkan kepedulian terhadap kerusakan alam di Raja Ampat.

2. Komentar 2: Sentimen Tidak Ada. Alasan: Komentar ini hanya sebuah selamat datang tanpa menunjukkan sentimen positif atau negatif terhadap isu kerusakan alam.

3. Komentar 3: Sentimen Positif. Alasan: Komentar ini menunjukkan kepedulian dan keberanian terhadap keindahan alam Raja Ampat, yang bisa diinterpretasikan sebagai dukungan untuk pelestarian alam.

4. Komentar 4: Sentimen Negatif. Alasan: Komentar ini mengekspresikan frustrasi atas proses izin untuk perusahaan tambang di Raja Ampat, yang secara langsung berimplikasi terhadap kerusakan alam.

5. Komentar 5: Sentimen Negatif. Alasan: Komentar ini menunjukkan kesedihan dan kritis terhadap perusahaan tambang di Raja Ampat, yang berpotensi menyebabkan kerusakan alam.

6. Komentar 6: Sentimen Tidak Ada. Komentar ini tidak menunjukkan sentimen yang jelas terhadap kerusakan alam atau pelestarian alam.

7. Komentar 7: Sentimen Negatif. Alasan: Komentar ini mengkritik korupsi yang menyebabkan rugi triliunan untuk negara, termasuk mungkin kerugian ekosistem di Raja Ampat.

8. Komentar 8: Sentimen Tidak Ada. Komentar ini lebih fokus pada isu politik dan pemilihan menteri, tanpa menunjukkan sentimen langsung terhadap kerusakan alam.

9. Komentar 9: Sent"
